17/12/2010	19:30	Bor. Mönchengladbach	-	Hamburger SV	1:2 (0:0)	
18/12/2010	14:30	FC Schalke 04	-	1. FC Köln	3:0 (1:0)	
	14:30	Werder Bremen	-	1. FC Kaiserslautern	1:2 (1:1)	
	14:30	VfL Wolfsburg	-	1899 Hoffenheim	2:2 (0:2)	
	14:30	Eintracht Frankfurt	-	Borussia Dortmund	1:0 (0:0)	
	14:30	1. FC Nürnberg	-	Hannover 96	3:1 (2:0)	
	17:30	FC St. Pauli	-	1. FSV Mainz 05	2:4 (1:3)	
19/12/2010	14:30	Bayer Leverkusen	-	SC Freiburg	2:2 (1:1)	
	16:30	VfB Stuttgart	-	Bayern München	3:5 (0:3)	
1		Borussia Dortmund	17	14	1	2	39:10	29	43
2		1. FSV Mainz 05	17	11	0	6	30:19	11	33
3		Bayer Leverkusen	17	9	6	2	35:25	10	33
4		Hannover 96	17	10	1	6	25:27	-2	31
5		Bayern München	17	8	5	4	31:20	11	29
6		SC Freiburg	17	9	1	7	25:25	0	28
7		Eintracht Frankfurt	17	8	2	7	24:21	3	26
8		1899 Hoffenheim	17	6	7	4	32:22	10	25
9		Hamburger SV	17	7	3	7	27:28	-1	24
10		FC Schalke 04	17	6	4	7	25:24	1	22
11		1. FC Nürnberg	17	6	4	7	22:28	-6	22
12		1. FC Kaiserslautern	17	6	3	8	27:27	0	21
13		VfL Wolfsburg	17	4	7	6	24:25	-1	19
14		Werder Bremen	17	5	4	8	23:35	-12	19
15		FC St. Pauli	17	5	2	10	16:30	-14	17
16		1. FC Köln	17	4	3	10	18:33	-15	15
17		VfB Stuttgart	17	3	3	11	32:35	-3	12
18		Bor. Mönchengladbach	17	2	4	11	26:47	-21	10
