25/09/2009	19:30	1. FC Nürnberg	-	VfL Bochum	0:1 (0:1)	
26/09/2009	14:30	VfL Wolfsburg	-	Hannover 96	4:2 (2:1)	
	14:30	Borussia Dortmund	-	FC Schalke 04	0:1 (0:1)	
	14:30	Werder Bremen	-	1. FSV Mainz 05	3:0 (1:0)	
	14:30	1. FC Köln	-	Bayer Leverkusen	0:1 (0:0)	
	14:30	Eintracht Frankfurt	-	VfB Stuttgart	0:3 (0:2)	
	17:30	Hamburger SV	-	Bayern München	1:0 (0:0)	
27/09/2009	14:30	SC Freiburg	-	Bor. Mönchengladbach	3:0 (0:0)	
	16:30	1899 Hoffenheim	-	Hertha BSC	5:1 (3:1)	
1		Hamburger SV	7	5	2	0	17:7	10	17
2		Bayer Leverkusen	7	5	2	0	14:5	9	17
3		1899 Hoffenheim	7	4	2	1	14:5	9	14
4		FC Schalke 04	7	4	1	2	9:5	4	13
5		Werder Bremen	7	3	3	1	12:6	6	12
6		VfL Wolfsburg	7	4	0	3	15:14	1	12
7		Bayern München	7	3	2	2	13:7	6	11
8		1. FSV Mainz 05	7	3	2	2	10:12	-2	11
9		Eintracht Frankfurt	7	2	4	1	8:8	0	10
10		SC Freiburg	7	3	1	3	11:12	-1	10
11		VfB Stuttgart	7	2	2	3	9:10	-1	8
12		Bor. Mönchengladbach	7	2	1	4	9:15	-6	7
13		VfL Bochum	7	2	1	4	8:14	-6	7
14		Hannover 96	7	1	3	3	6:8	-2	6
15		Borussia Dortmund	7	1	3	3	6:13	-7	6
16		1. FC Nürnberg	7	1	2	4	4:8	-4	5
17		1. FC Köln	7	1	1	5	5:10	-5	4
18		Hertha BSC	7	1	0	6	6:17	-11	3
