16/06/2020	17:30	Bor. Mönchengladbach	-	VfL Wolfsburg	3:0 (2:0)	
	19:30	Werder Bremen	-	Bayern München	0:1 (0:1)	
	19:30	SC Freiburg	-	Hertha BSC	2:1 (0:0)	
	19:30	1. FC Union Berlin	-	SC Paderborn 07	1:0 (1:0)	
17/06/2020	17:30	Eintracht Frankfurt	-	FC Schalke 04	2:1 (1:0)	
	19:30	FC Augsburg	-	1899 Hoffenheim	1:3 (0:0)	
	19:30	RB Leipzig	-	Fortuna Düsseldorf	2:2 (0:0)	
	19:30	Borussia Dortmund	-	1. FSV Mainz 05	0:2 (0:1)	
	19:30	Bayer Leverkusen	-	1. FC Köln	3:1 (2:0)	
1		Bayern München	32	24	4	4	93:31	62	76
2		Borussia Dortmund	32	20	6	6	82:37	45	66
3		RB Leipzig	32	17	12	3	79:34	45	63
4		Bayer Leverkusen	32	18	6	8	60:42	18	60
5		Bor. Mönchengladbach	32	18	5	9	61:38	23	59
6		VfL Wolfsburg	32	12	10	10	44:41	3	46
7		1899 Hoffenheim	32	13	7	12	45:53	-8	46
8		SC Freiburg	32	12	9	11	43:44	-1	45
9		Eintracht Frankfurt	32	12	5	15	55:57	-2	41
10		FC Schalke 04	32	9	12	11	37:50	-13	39
11		Hertha BSC	32	10	8	14	45:57	-12	38
12		1. FC Union Berlin	32	11	5	16	38:54	-16	38
13		1. FC Köln	32	10	5	17	49:62	-13	35
14		FC Augsburg	32	9	8	15	43:60	-17	35
15		1. FSV Mainz 05	32	10	4	18	41:63	-22	34
16		Fortuna Düsseldorf	32	6	11	15	35:63	-28	29
17		Werder Bremen	32	7	7	18	35:65	-30	28
18		SC Paderborn 07	32	4	8	20	34:68	-34	20
