07/04/2007	14:30	Hertha BSC	-	Arminia Bielefeld	1:1 (0:1)	
	14:30	Hamburger SV	-	VfB Stuttgart	2:4 (0:3)	
	14:30	Hannover 96	-	Bayern München	1:2 (1:0)	
	14:30	FC Schalke 04	-	Bor. Mönchengladbach	2:0 (0:0)	
	14:30	Alemannia Aachen	-	Borussia Dortmund	1:4 (0:1)	
	14:30	VfL Wolfsburg	-	1. FSV Mainz 05	3:2 (1:1)	
	14:30	Eintracht Frankfurt	-	Energie Cottbus	1:3 (0:0)	
08/04/2007	16:00	Bayer Leverkusen	-	VfL Bochum	1:4 (0:3)	
	16:00	Werder Bremen	-	1. FC Nürnberg	1:0 (0:0)	
1		FC Schalke 04	28	17	5	6	44:27	17	56
2		Werder Bremen	28	16	6	6	62:33	29	54
3		VfB Stuttgart	28	15	7	6	49:33	16	52
4		Bayern München	28	15	5	8	43:32	11	50
5		Bayer Leverkusen	28	12	6	10	44:40	4	42
6		1. FC Nürnberg	28	9	14	5	38:26	12	41
7		VfL Wolfsburg	28	8	11	9	30:32	-2	35
8		Energie Cottbus	28	9	8	11	32:37	-5	35
9		Hertha BSC	28	9	8	11	38:45	-7	35
10		Hannover 96	28	9	8	11	34:41	-7	35
11		VfL Bochum	28	9	6	13	36:43	-7	33
12		Alemannia Aachen	28	9	6	13	43:52	-9	33
13		Hamburger SV	28	6	14	8	32:31	1	32
14		Borussia Dortmund	28	8	8	12	33:39	-6	32
15		Eintracht Frankfurt	28	6	13	9	35:48	-13	31
16		Arminia Bielefeld	28	7	9	12	33:37	-4	30
17		1. FSV Mainz 05	28	7	9	12	26:43	-17	30
18		Bor. Mönchengladbach	28	6	7	15	22:35	-13	25
